"","employee","salaries.2014","salaries.2015","raise","got.raise"
"1","Employee 1",49262.3326461762,50150.3663989715,888.033752795309,TRUE
"2","Employee 2",47084.43159936,47107.8888112679,23.457211907953,TRUE
"3","Employee 3",45663.435109891,46091.6781770065,428.243067115545,TRUE
"4","Employee 4",47642.8049779497,48024.329229258,381.524251308292,TRUE
"5","Employee 5",40334.8908619955,39464.6210600622,-870.269801933318,FALSE
"6","Employee 6",44581.1102841981,43767.4893508665,-813.620933331549,FALSE
"7","Employee 7",44495.9964859299,43496.450859122,-999.545626807958,FALSE
"8","Employee 8",44555.2680571564,45029.8600587994,474.592001643032,TRUE
"9","Employee 9",40852.1169307642,41292.5735106692,440.456579905003,TRUE
"10","Employee 10",44763.9643307775,44751.2575183064,-12.7068124711514,FALSE
"11","Employee 11",44975.8613784797,45631.1162626371,655.25488415733,TRUE
"12","Employee 12",45582.2881683707,44949.82715277,-632.461015600711,FALSE
"13","Employee 13",49224.5378275402,49585.2588443086,360.721016768366,TRUE
"14","Employee 14",48894.3947758526,48255.3083826788,-639.086393173784,FALSE
"15","Employee 15",40624.432915356,41132.0518217981,507.618906442076,TRUE
"16","Employee 16",48407.3457703926,48966.5777436458,559.231973253191,TRUE
"17","Employee 17",45783.2790352404,45322.7575854398,-460.521449800581,FALSE
"18","Employee 18",42354.4772807509,41473.9557895809,-880.52149116993,FALSE
"19","Employee 19",42613.5614863597,42647.7729030885,34.2114167287946,TRUE
"20","Employee 20",43809.2911662534,43034.6121429466,-774.679023306817,FALSE
"21","Employee 21",46093.0413426831,45495.8091028966,-597.232239786536,FALSE
"22","Employee 22",45215.6658982858,45647.9213805869,432.255482301116,TRUE
"23","Employee 23",41043.7387833372,41457.1432019584,413.404418621212,TRUE
"24","Employee 24",49661.5227567963,49766.4630822837,104.940325487405,TRUE
"25","Employee 25",48097.8321563452,47402.0305448212,-695.801611524075,FALSE
"26","Employee 26",42800.202278886,42892.9750835523,92.7728046663105,TRUE
"27","Employee 27",44664.9735304527,44521.9608279876,-143.012702465057,FALSE
"28","Employee 28",45456.7178129219,44764.1911930405,-692.526619881392,FALSE
"29","Employee 29",46265.7098076306,46379.4004870579,113.690679427236,TRUE
"30","Employee 30",43685.1434479468,44490.4260970652,805.282649118453,TRUE
"31","Employee 31",43303.4019684419,44265.7420998439,962.340131402016,TRUE
"32","Employee 32",42742.2820427455,42856.150360778,113.868318032473,TRUE
"33","Employee 33",42634.3398867175,43618.8430283219,984.503141604364,TRUE
"34","Employee 34",46110.792090185,46578.5721098073,467.780019622296,TRUE
